자넷의 오리들은 하루에 16개의 알을 낳습니다. 그녀는 매일 아침 식사로 세 개를 먹고 매일 친구들을 위해 머핀을 만드는데 네 개를 사용합니다. 나머지는 매일 농산물 시장에서 신선한 오리 알 하나당 2달러에 판매합니다. 그녀는 농산물 시장에서 매일 얼마의 돈을 벌까요?	18
예복 하나를 만들기 위해 2볼트의 파란 섬유와 그 절반의 흰 섬유가 필요합니다. 총 몇 볼트의 섬유가 필요합니까?	3
조쉬는 집을 되팔기로 결심했습니다. 그는 집을 80,000달러에 구입하고 50,000달러를 수리비로 투입했습니다. 이로 인해 집의 가치가 150% 상승했습니다. 그는 얼마나 많은 이익을 얻었나요?	70000
제임스는 일주일에 3번 3개의 스프린트를 하기로 결심했습니다. 그는 각 스프린트마다 60미터를 달립니다. 그는 일주일에 총 몇 미터를 달리나요?	540
웬디는 매일 각 닭에게 씨앗, 밀웜, 채소가 섞인 닭 모이를 세 컵씩 주어 건강을 유지하도록 합니다. 그녀는 닭들에게 모이를 세 끼에 나누어 줍니다. 아침에는 닭 떼에게 15컵의 모이를 줍니다. 오후에는 닭들에게 25컵의 모이를 또 줍니다. 웬디의 닭 떼 크기가 20마리라면, 하루 마지막 끼니에 몇 컵의 모이를 줘야 하나요?	20
Kylar는 새 아파트를 위해 유리잔을 사러 가게에 갔습니다. 하나의 유리잔은 $5이지만, 두 번째 유리잔은 원가격의 60%만 됩니다. Kylar는 16개의 유리잔을 사려고 합니다. 그는 얼마를 지불해야 하나요?	64
툴루즈는 찰스턴의 두 배에 해당하는 양을 가지고 있습니다. 찰스턴은 시애틀보다 4배 많은 양을 가지고 있습니다. 시애틀에 양이 20마리 있다면, 툴루즈, 찰스턴, 시애틀은 모두 몇 마리의 양을 가지고 있나요?	260
Carla는 200GB 파일을 다운로드하고 있습니다. 보통 그녀는 1분에 2GB를 다운로드할 수 있지만, 다운로드의 40% 지점에서 Windows가 업데이트를 설치하려고 강제로 재시작되어 20분이 소요됩니다. 그 후 Carla는 다운로드를 처음부터 다시 시작해야 합니다. 파일을 다운로드하는 데 얼마나 걸릴까요?	160
존은 시속 60마일로 3시간 동안 운전한 후, 집에 매우 중요한 물건을 두고 온 것을 깨닫고 돌아가기로 합니다. 4시간 안에 집에 도착하려고 하지만, 처음 2시간은 교통 혼잡으로 인해 정체되어 있습니다. 그 후 반 시간 동안 시속 30마일로 운전한 후, 남은 시간 동안 80마일의 속도로 운전할 수 있게 됩니다. 그가 4시간이 끝날 때 집에서 얼마나 떨어져 있습니까?	45
엘리자는 매주 처음 40시간 동안 일할 때 시간당 $10를 받습니다. 그녀는 또한 정규 시급의 1.2배에 해당하는 초과 근무 수당도 받습니다. 엘리자가 이번 주에 45시간을 일했다면 그녀의 이번 주 수입은 얼마입니까?	460
새로운 프로그램이 있는데 첫 달에는 60회의 다운로드를 받았습니다. 두 번째 달에는 첫 달의 다운로드 횟수의 세 배였지만, 세 번째 달에는 30% 감소했습니다. 이 프로그램은 세 달 동안 총 몇 번의 다운로드를 받았습니까?	366
툴라는 빵집에 가서 다양한 종류의 페이스트리를 샀습니다. 도넛 3다즌을 샀는데, 한 다즌 당 $68입니다. 미니 컵케이크는 2다즌을 샀고, 한 다즌 당 $80입니다. 미니 치즈케이크는 6다즌을 샀고, 한 다즌 당 $55입니다. 총 비용은 얼마인가요?	694
카를로스는 레몬 나무를 심고 있습니다. 나무를 심는 데에는 90달러가 듭니다. 그 나무는 매년 7개의 레몬을 생산하는데, 레몬은 개당 1.5달러에 판매됩니다. 나무에 물을 주고 비료를 주는데 연간 3달러의 비용이 듭니다. 그가 이 레몬나무로 돈을 벌려면 몇 년이 걸릴까요?	13
멜라니는 방문 판매원입니다. 그녀는 녹색 집에서 진공청소기 중 3분의 1을 팔고, 빨간색 집에서 2대를 팔았으며, 남은 것의 절반을 주황색 집에서 팔았습니다. 멜라니에게 진공청소기 5대가 남아 있다면, 처음에 몇 대의 진공청소기를 가지고 있었나요?	18
