ابحث عن مجموع جميع الأسس الصحيحة $b>9$ بحيث يكون $17_{b}$  قاسمًا للعدد $97_{b}$.	70
على المثلث $ \triangle ABC $ النقاط $ A,D,E $ و $ B $ تقع على الترتيب على الجانب $\overline{AB}$ مع $AD=4$, $ DE=16 $، و $EB=8$. النقاط $ A,F,G $ و $ C $ تقع على الترتيب على الجانب $\overline{AC}$ مع $AF=13 $, $ FG=52 $، و $GC=26$. اجعل النقطة $ M $ انعكاس النقطة $ D $ بالنسبة إلى النقطة $ F $، واجعل النقطة $ N $ انعكاس النقطة $ G $ بالنسبة إلى النقطة $ E $. شكل رباعي الأضلاع $DEGF$ مساحته 288. أوجد مساحة الشكل السباعي $AFNBCEM$.	588
ذهب الأعضاء التسعة لفريق البيسبول إلى متجر المثلجات بعد مباراتهم. تناول كل لاعب مخروطًا من المثلجات بنكهة الشوكولاتة أو الفانيليا أو الفراولة. اختار على الأقل لاعب واحد كل نكهة، وكان عدد اللاعبين الذين اختاروا الشوكولاتة أكبر من عدد اللاعبين الذين اختاروا الفانيليا، وكان عدد اللاعبين الذين اختاروا الفانيليا أكبر من عدد اللاعبين الذين اختاروا الفراولة. لنرمز بـ $N$ عدد التوزيعات المختلفة للنكهات على اللاعبين التي تلبي هذه الشروط. أوجد الباقي عند قسمة $N$ على 1000.	16
أوجد عدد الأزواج المرتبة $(x, y)$، حيث $x$ و $y$ كلاهما أعداد صحيحة بين $-100$ و $100$، شاملاً ذلك، بحيث أن $12x^2 - xy - 6y^2 = 0$.	117
لدينا شبه منحرف متساوي الساقين يحتوي على دائرة داخلية تمس كل من جوانبه الأربعة. نصف قطر الدائرة هو 3، ومساحة شبه المنحرف هي 72. لنفترض أن أطوال الأضلاع المتوازية لشبه المنحرف هي $r$ و $s$، بحيث $r \neq s$. احسب $r^{2}+s^{2}$.	504
يتم تجميع الأحرف الاثني عشر $A,B,C,D,E,F,G,H,I,J,K$ و $L$ عشوائيًا في ستة أزواج من الأحرف. يتم وضع الحرفين في كل زوج بجانب بعضهما البعض بترتيب أبجدي لتشكيل ست كلمات مكونة من حرفين، ويتم ترتيب تلك الكلمات الست أبجديًا. على سبيل المثال، نتيجة محتملة هي $AB,CJ,DG,EK,FL,HI$. احتمال أن الكلمة الأخيرة المذكورة تحتوي على $G$ هو $\frac{m}{n}$، حيث $m$ و $n$ هما عددان صحيحان موجبان أوليان نسبيًا. أوجد $m+n$.	821
لنفرض أن $k$ عدد حقيقي بحيث أن النظام $|25+20i-z|=5$ و $|z-4-k|=|z-3i-k|$ له حل معقد واحد فقط $z$. يمكن كتابة مجموع جميع القيم الممكنة لـ $k$ كـ $\frac{m}{n}$، حيث أن $m$ و $n$ هما عددان صحيحان موجبان ومتباينان. جد $m+n$. هنا $i=\sqrt{-1}$.	77
القطع المكافئ بالمعادلة $y = x^{2} - 4$ يتم تدويره بزاوية $60^\circ$ عكس اتجاه عقارب الساعة حول الأصل. النقطة الوحيدة في الربع الرابع التي يتقاطع عندها القطع المكافئ الأصلي وصورته لها إحداثي $y$ يُعطى بالعلاقة $\frac{a-\sqrt{b}}{c}$، حيث أن $a$ و $b$ و $c$ هي أعداد صحيحة موجبة، و $a$ و $c$ هما عددان أوليان نسبيًا. أوجد قيمة $a+b+c$.	62
تم ملء 27 خلية من شبكة $3\times9$ باستخدام الأرقام من 1 إلى 9 بحيث يحتوي كل صف على 9 أرقام مختلفة، وتحتوي كل كتلة من الثلاث كتل $3\times3$ المحددة بخط عريض في المثال أدناه على 9 أرقام مختلفة، كما هو الحال في الصفوف الثلاثة الأولى من لغز سودوكو.  | 4 | 2 | 8 | 9 | 6 | 3 | 1 | 7 | 5 | | 3 | 7 | 9 | 5 | 2 | 1 | 6 | 8 | 4 | | 5 | 6 | 1 | 8 | 4 | 7 | 9 | 2 | 3 |  يمكن كتابة عدد الطرق المختلفة لملء مثل هذه الشبكة على هيئة $p^a\cdot q^b\cdot r^c\cdot s^d$، حيث أن $p,q,r,$ و $s$ هي أعداد أولية مميزة و $a,b,c,$ و $d$ هي أعداد صحيحة موجبة. جد قيمة $p\cdot a+q\cdot b+r\cdot c+s\cdot d$.	81
دالة خطية مقطعية ودورية تُعرَّف بالصيغة التالية $f(x)=\begin{cases}x&\text{إذا كان }x\in[-1,1)\\2-x&\text{إذا كان }x\in[1,3)\end{cases}$ و $f(x+4)=f(x)$ لجميع الأعداد الحقيقية $x$. يحتوي رسم الدالة $f(x)$ على نمط سن المنشار. يتقاطع الرسم البياني لمنحنى القطع المكافئ $x=34y^2$ مع الرسم البياني للدالة $f(x)$ في عدد محدود من النقاط. يُمكن التعبير عن مجموع الإحداثيات $y$ لهذه النقاط المتقاطعة على شكل $\frac{a+b\sqrt{c}}{d}$، حيث $a, b, c, و d$ هي أعداد صحيحة موجبة، و $a, b,$ و $d$ لها القاسم المشترك الأكبر يساوي 1، و $c$ ليس قابلًا للقسمة على مربع أي عدد أولي. احسب $a+b+c+d$.	259
المجموعة من النقاط في الفضاء ثلاثي الأبعاد التي تقع في المستوى $x+y+z=75$ والتي تُحقق إحداثياتها المتباينات $x-yz<y-zx<z-xy$ تُكوّن ثلاث مناطق محدبة منفصلة. إحداها فقط لها مساحة محدودة. يمكن التعبير عن مساحة هذه المنطقة المحدودة في الشكل $a\sqrt{b}$، حيث $a$ و$b$ أعداد صحيحة موجبة و$b$ ليس قابلا للقسمة على مربع أي عدد أولي. أوجد قيمة $a+b$.	510
